sample_id,Early lactation,Intermediate lactation,Late lactation
IT1007,1,0,0
IT1008,1,0,0
IT1009,1,0,0
IT1010,1,0,0
IT1011,1,0,0
IT1012,1,0,0
IT1013,1,0,0
IT1014,1,0,0
IT1015,1,0,0
IT1016,1,0,0
IT400,0,1,0
IT401,0,1,0
IT402,0,1,0
IT403,1,0,0
IT404,1,0,0
IT405,1,0,0
IT406,1,0,0
IT407,1,0,0
IT408,1,0,0
IT409,1,0,0
IT410,1,0,0
IT411,1,0,0
IT412,1,0,0
IT413,1,0,0
IT414,1,0,0
IT415,1,0,0
IT416,1,0,0
IT417,1,0,0
IT418,1,0,0
IT419,1,0,0
IT420,1,0,0
IT421,1,0,0
IT422,1,0,0
IT423,1,0,0
IT424,1,0,0
IT425,1,0,0
IT426,0,1,0
IT427,0,1,0
IT428,0,1,0
IT429,0,1,0
IT430,0,1,0
IT431,0,1,0
IT432,0,1,0
IT433,0,1,0
IT434,0,1,0
IT435,1,0,0
IT436,1,0,0
IT437,1,0,0
IT438,1,0,0
IT439,1,0,0
IT440,1,0,0
IT441,1,0,0
IT442,1,0,0
IT443,1,0,0
IT444,1,0,0
IT445,1,0,0
IT446,1,0,0
IT447,1,0,0
IT448,1,0,0
IT449,1,0,0
IT450,1,0,0
IT451,1,0,0
IT452,1,0,0
IT453,1,0,0
IT454,1,0,0
IT455,1,0,0
IT456,1,0,0
IT457,1,0,0
IT458,1,0,0
IT459,1,0,0
IT460,1,0,0
IT461,1,0,0
IT462,1,0,0
IT463,1,0,0
IT464,1,0,0
IT465,1,0,0
IT466,1,0,0
IT467,1,0,0
IT468,1,0,0
IT469,1,0,0
IT470,0,1,0
IT471,0,1,0
IT472,0,1,0
IT473,1,0,0
IT474,1,0,0
IT475,1,0,0
IT476,1,0,0
IT477,1,0,0
IT478,1,0,0
IT479,0,1,0
IT480,1,0,0
IT481,1,0,0
IT482,1,0,0
IT483,1,0,0
IT484,1,0,0
IT485,1,0,0
IT486,1,0,0
IT487,1,0,0
IT488,1,0,0
IT489,1,0,0
IT490,1,0,0
IT491,1,0,0
IT492,1,0,0
IT493,1,0,0
IT494,1,0,0
IT496,1,0,0
IT497,1,0,0
IT498,1,0,0
IT499,1,0,0
IT500,1,0,0
IT501,1,0,0
IT502,1,0,0
IT503,1,0,0
IT504,1,0,0
IT505,0,1,0
IT506,1,0,0
IT507,1,0,0
IT508,1,0,0
IT509,1,0,0
IT510,1,0,0
IT511,1,0,0
IT512,1,0,0
IT513,1,0,0
IT514,1,0,0
IT515,1,0,0
IT516,1,0,0
IT517,0,1,0
IT518,1,0,0
IT519,1,0,0
IT520,1,0,0
IT521,1,0,0
IT522,0,1,0
IT523,0,0,1
IT524,1,0,0
IT525,1,0,0
IT526,1,0,0
IT527,1,0,0
IT528,1,0,0
IT529,0,1,0
IT530,1,0,0
IT531,1,0,0
IT532,1,0,0
IT533,1,0,0
IT534,1,0,0
IT535,1,0,0
IT536,1,0,0
IT537,1,0,0
IT539,1,0,0
IT540,1,0,0
IT541,1,0,0
IT542,1,0,0
IT543,1,0,0
IT544,1,0,0
IT545,1,0,0
IT546,1,0,0
IT547,1,0,0
IT548,1,0,0
IT549,1,0,0
IT550,1,0,0
IT551,1,0,0
IT552,1,0,0
IT553,1,0,0
IT554,1,0,0
IT555,1,0,0
IT556,1,0,0
IT557,1,0,0
IT558,1,0,0
IT559,1,0,0
IT560,1,0,0
IT561,1,0,0
IT562,1,0,0
IT563,1,0,0
IT564,1,0,0
IT565,1,0,0
IT566,1,0,0
IT567,1,0,0
IT568,1,0,0
IT569,1,0,0
IT570,1,0,0
IT571,1,0,0
IT572,1,0,0
IT573,1,0,0
IT574,0,1,0
IT575,0,1,0
IT576,1,0,0
IT577,1,0,0
IT578,1,0,0
IT579,1,0,0
IT580,1,0,0
IT581,1,0,0
IT582,1,0,0
IT583,1,0,0
IT584,1,0,0
IT585,1,0,0
IT586,1,0,0
IT587,1,0,0
IT588,1,0,0
IT589,1,0,0
IT590,1,0,0
IT591,1,0,0
IT592,1,0,0
IT593,1,0,0
IT594,1,0,0
IT595,1,0,0
IT596,1,0,0
IT597,1,0,0
IT598,1,0,0
IT599,1,0,0
IT600,1,0,0
IT601,1,0,0
IT602,1,0,0
IT603,1,0,0
IT604,1,0,0
IT605,1,0,0
IT606,1,0,0
IT607,1,0,0
IT608,1,0,0
IT609,1,0,0
IT610,1,0,0
IT611,1,0,0
IT612,1,0,0
IT613,1,0,0
IT614,1,0,0
IT615,1,0,0
IT616,1,0,0
IT617,1,0,0
IT618,1,0,0
IT619,1,0,0
IT620,1,0,0
IT621,1,0,0
IT622,1,0,0
IT623,1,0,0
IT624,1,0,0
IT625,1,0,0
IT626,1,0,0
IT627,1,0,0
IT628,0,1,0
IT629,1,0,0
IT630,1,0,0
IT631,1,0,0
IT632,1,0,0
IT633,1,0,0
IT634,1,0,0
IT635,1,0,0
IT636,1,0,0
IT637,1,0,0
IT638,1,0,0
IT639,1,0,0
IT640,1,0,0
IT641,1,0,0
IT642,1,0,0
IT643,1,0,0
IT644,1,0,0
IT645,1,0,0
IT646,0,1,0
IT647,0,1,0
IT648,1,0,0
IT649,0,1,0
IT650,0,1,0
IT651,1,0,0
IT652,1,0,0
IT653,1,0,0
IT654,1,0,0
IT655,1,0,0
IT656,1,0,0
IT657,1,0,0
IT658,1,0,0
IT659,1,0,0
IT660,1,0,0
IT661,1,0,0
IT662,1,0,0
IT663,1,0,0
IT664,1,0,0
IT665,1,0,0
IT666,1,0,0
IT667,1,0,0
IT668,1,0,0
IT669,1,0,0
IT670,1,0,0
IT671,1,0,0
IT672,1,0,0
IT673,1,0,0
IT674,1,0,0
IT675,1,0,0
IT676,1,0,0
IT677,1,0,0
IT678,1,0,0
IT679,1,0,0
IT680,1,0,0
IT681,1,0,0
IT682,1,0,0
IT683,1,0,0
IT684,1,0,0
IT685,1,0,0
IT686,1,0,0
IT687,1,0,0
IT688,1,0,0
IT689,1,0,0
IT690,1,0,0
IT691,0,1,0
IT692,1,0,0
IT693,1,0,0
IT694,1,0,0
IT695,1,0,0
IT696,1,0,0
IT697,1,0,0
IT698,1,0,0
IT699,1,0,0
IT700,1,0,0
IT701,1,0,0
IT702,1,0,0
IT703,1,0,0
IT704,1,0,0
IT705,1,0,0
IT706,1,0,0
IT707,1,0,0
IT708,1,0,0
IT709,1,0,0
IT710,1,0,0
IT711,1,0,0
IT712,1,0,0
IT713,1,0,0
IT714,1,0,0
IT715,1,0,0
IT716,1,0,0
IT717,1,0,0
IT718,1,0,0
IT719,1,0,0
IT720,1,0,0
IT721,1,0,0
IT722,1,0,0
IT723,1,0,0
IT724,1,0,0
IT725,0,1,0
IT726,0,1,0
IT727,0,1,0
IT728,0,1,0
IT729,0,1,0
IT730,1,0,0
IT731,1,0,0
IT732,1,0,0
IT733,1,0,0
IT734,1,0,0
IT735,1,0,0
IT736,1,0,0
IT737,1,0,0
IT738,1,0,0
IT739,1,0,0
IT740,1,0,0
IT741,1,0,0
IT742,1,0,0
IT743,1,0,0
IT744,1,0,0
IT745,1,0,0
IT746,1,0,0
IT747,1,0,0
IT748,1,0,0
IT749,1,0,0
IT750,1,0,0
IT751,1,0,0
IT752,1,0,0
IT753,1,0,0
IT754,1,0,0
IT755,1,0,0
IT756,1,0,0
IT757,0,1,0
IT758,0,1,0
IT759,1,0,0
IT760,1,0,0
IT761,1,0,0
IT762,1,0,0
IT763,1,0,0
IT764,1,0,0
IT765,1,0,0
IT766,1,0,0
IT767,1,0,0
IT768,1,0,0
IT769,1,0,0
IT770,1,0,0
IT771,1,0,0
IT772,1,0,0
IT773,1,0,0
IT774,1,0,0
IT775,1,0,0
IT776,1,0,0
IT777,1,0,0
IT778,1,0,0
IT779,1,0,0
IT780,1,0,0
IT781,1,0,0
IT782,1,0,0
IT783,1,0,0
IT784,1,0,0
IT785,1,0,0
IT786,1,0,0
IT787,1,0,0
IT788,1,0,0
IT789,1,0,0
IT790,1,0,0
IT791,0,1,0
IT792,0,1,0
IT793,0,1,0
IT794,0,1,0
IT795,1,0,0
IT796,1,0,0
IT797,1,0,0
IT798,1,0,0
IT799,1,0,0
UK0,1,0,0
UK1,1,0,0
UK10,1,0,0
UK100,1,0,0
UK1000,1,0,0
UK1001,1,0,0
UK1002,1,0,0
UK1003,1,0,0
UK1004,1,0,0
UK1005,1,0,0
UK1006,0,1,0
UK101,1,0,0
UK102,0,1,0
UK103,1,0,0
UK104,1,0,0
UK105,1,0,0
UK106,1,0,0
UK107,1,0,0
UK108,1,0,0
UK109,1,0,0
UK11,1,0,0
UK110,1,0,0
UK111,1,0,0
UK112,1,0,0
UK113,1,0,0
UK114,1,0,0
UK115,1,0,0
UK116,0,1,0
UK117,1,0,0
UK118,1,0,0
UK119,1,0,0
UK12,1,0,0
UK120,1,0,0
UK121,1,0,0
UK122,0,1,0
UK123,0,1,0
UK124,1,0,0
UK125,0,0,1
UK126,1,0,0
UK127,1,0,0
UK128,1,0,0
UK129,1,0,0
UK13,1,0,0
UK130,1,0,0
