sample_id,DM (kg/d),OM (kg/d),CP (kg/d),NDF (kg/d),Lipid (kg/d),Bacteria: prevotella,Bacteria: prevotellaceae ucg-001,Bacteria: prevotellaceae ucg-003,Bacteria: prevotellaceae yab2003 group,Bacteria: prevotella_7,Bacteria: prevotellaceae ucg-004,Bacteria: uncultured,Bacteria: prevotella_9,Bacteria: prevotellaceae nk3b31 group,Bacteria: prevotellaceae ga6a1 group,Bacteria: alloprevotella,Bacteria: paraprevotella,Bacteria: rikenellaceae rc9 gut group,Bacteria: u29-b03,Bacteria: alistipes,Bacteria: bacteroides,Bacteria: uncultured,Bacteria: lachnospiraceae nk3a20 group,Bacteria: acetitomaculum,Bacteria: lachnospiraceae nd3007 group,Bacteria: eubacterium ruminantium group,Bacteria: lachnospiraceae ac2044 group,Bacteria: lachnospiraceae nk4a136 group,Bacteria: lachnoclostridium,Bacteria: ruminococcus gauvreauii group,Bacteria: butyrivibrio,Bacteria: coprococcus,Bacteria: shuttleworthia,Bacteria: anaerosporobacter,Bacteria: moryella,Bacteria: lachnospiraceae ucg-008,Bacteria: lachnospiraceae xpb1014 group,Bacteria: marvinbryantia,Bacteria: oribacterium,Bacteria: pseudobutyrivibrio,Bacteria: probable genus 10,Bacteria: agathobacter,Bacteria: eubacterium hallii group,Bacteria: lachnospiraceae ucg-006,Bacteria: lachnospiraceae nc2004 group,Bacteria: eubacterium cellulosolvens group,Bacteria: eubacterium xylanophilum group,Bacteria: eubacterium ventriosum group,Bacteria: lachnospira,Bacteria: lachnospiraceae fcs020 group,Bacteria: syntrophococcus,Bacteria: howardella,Bacteria: blautia,Bacteria: roseburia,Bacteria: possible genus sk018,Bacteria: lachnospiraceae ucg-009,Bacteria: lachnospiraceae ucg-004,Bacteria: tyzzerella,Bacteria: anaerostipes,Bacteria: lachnospiraceae ucg-002,Bacteria: lachnospiraceae fe2018 group,Bacteria: lachnospiraceae ucg-010,Bacteria: lachnospiraceae ucg-001,Bacteria: lachnobacterium,Bacteria: defluviitaleaceae ucg-011,Bacteria: cag-352,Bacteria: ruminococcus,Bacteria: uncultured,Bacteria: ucg-001,Bacteria: faecalibacterium,Bacteria: nk4a214 group,Bacteria: colidextribacter,Bacteria: ucg-005,Bacteria: oscillospira,Bacteria: ucg-002,Bacteria: uncultured,Bacteria: saccharofermentans,Bacteria: ucg-012,Bacteria: ruminiclostridium,Bacteria: ucg-008,Bacteria: christensenellaceae r-7 group,Bacteria: uncultured,Bacteria: anaerovorax,Bacteria: eubacterium nodatum group,Bacteria: family xiii ad3011 group,Bacteria: mogibacterium,Bacteria: eubacterium brachy group,Bacteria: family xiii ucg-001,Bacteria: pseudoramibacter,Bacteria: anaerofustis,Bacteria: monoglobus,Bacteria: anaeroplasma,Bacteria: ned5e9,Bacteria: candidatus phytoplasma,Bacteria: ucg-004,Bacteria: sharpea,Bacteria: asteroleplasma,Bacteria: uncultured,Bacteria: erysipelotrichaceae ucg-009,Bacteria: anaerorhabdus furcosa group,Bacteria: solobacterium,Bacteria: mycoplasma,Bacteria: paenibacillus,Bacteria: lactobacillus,Bacteria: selenomonas,Bacteria: anaerovibrio,Bacteria: schwartzia,Bacteria: veillonellaceae ucg-001,Bacteria: uncultured,Bacteria: succiniclasticum,Bacteria: succinivibrionaceae ucg-001,Bacteria: succinivibrionaceae ucg-002,Bacteria: ruminobacter,Bacteria: succinivibrio,Bacteria: succinimonas,Bacteria: anaerobiospirillum,Bacteria: sutterella,Bacteria: uncultured,Bacteria: comamonas,Bacteria: uncultured,Bacteria: acetobacter,Bacteria: treponema,Bacteria: sphaerochaeta,Bacteria: sediminispirochaeta,Bacteria: fibrobacter,Bacteria: bifidobacterium,Bacteria: pseudoscardovia,Bacteria: olsenella,Bacteria: atopobium,Bacteria: dnf00809,Bacteria: uncultured,Bacteria: collinsella,Bacteria: candidatus saccharimonas,Bacteria: horsej-a03,Bacteria: z20,Bacteria: akkermansia,Bacteria: desulfovibrio,Bacteria: mailhella,Bacteria: desulfobulbus,Bacteria: p-1088-a5 gut group,Bacteria: cpla-4 termite group,Bacteria: elusimicrobium,Bacteria: endomicrobium,Bacteria: campylobacter,Bacteria: pyramidobacter,Archaea: methanobrevibacter,Archaea: methanobacterium,Archaea: methanosphaera,Archaea: methanimicrococcus,Archaea: methanosarcina,Archaea: candidatus methanomethylophilus,Archaea: uncultured,Protozoa: isotricha,Protozoa: metadinium,Protozoa: ophryoscolex,Protozoa: polyplastron,Protozoa: neobalantidium,Protozoa: dasytricha,Protozoa: buxtonella,Protozoa: diplodinium,Protozoa: diploplastron,Protozoa: entodinium,Protozoa: eudiplodinium,Fungi: neocallimastix,Fungi: piromyces,Fungi: caecomyces,Fungi: aklioshbomyces,Fungi: orpinomyces
IT1007,-0.578657178,-0.583897403,-0.678436485,-0.116346444,-0.663198278,0.58543282,1.125449248,0.111723951,2.32076161,-0.393470364,1.107320369,0.060891561,-0.242760066,-0.784117166,-0.375950136,-0.259358651,-0.135000508,0.51361645,0.840899302,0.683220841,0.067839271,4.874090991,-0.280105506,0.305674739,0.771353091,-0.321955528,0.064789027,-0.019460678,0.248301367,0.093620537,-0.627847935,1.055916569,-0.33381879,-0.012681837,-0.35695972,0.159550818,-0.405254889,0.055687814,-0.411003431,-0.226109783,-0.383091278,0.485123639,-0.2356157,-0.172421644,-0.372672025,-0.113092562,-0.694382152,-0.353911698,-0.331958216,0.058974419,-0.401419833,-0.122312917,-0.631533874,-0.450608395,-0.201393571,-0.309547436,-0.291360565,-0.344407629,-1.189779083,-1.065549205,-0.442655357,-0.42997628,-0.403908904,-0.582058704,-0.304539402,5.54277414,-0.150636955,0.243223036,0.31149402,0.649948769,-0.138882633,0.168735436,0.222562186,1.379676197,-0.06088071,-0.710438807,0.16342577,0.218191824,-0.507496174,-0.075903404,-0.362005524,-0.255274662,0.161087526,-0.455762195,-0.282053781,-0.3278076,-0.273306611,-0.072898541,0.205543431,-0.522619007,-0.100692982,2.034566536,2.567257464,1.606836395,1.986133305,2.745707038,1.20855668,0.243163556,0.032724804,0.346020702,0.122929145,1.377748182,1.121368786,-0.317890108,-0.045518243,-0.170933485,0.090270487,-0.040283638,-0.267122578,-0.382097216,0.780896604,0.543558424,0.518279797,3.148490036,0.208989524,0.439833617,0.18265578,0.745699389,1.048195728,0.053195491,-0.474061591,1.492997399,4.574174036,1.264414921,-0.069808083,2.718616243,1.877897228,-0.480665237,0.173204472,0.113755659,-0.202846235,-0.662147328,-0.222268272,-0.070951266,-0.332158425,-0.200322078,-0.389705525,-0.398650867,0.13583019,0.321199486,-0.334934833,0.380811721,-0.368472718,0.550106675,-0.309219665,-0.163758605,-0.09307832,-0.129762392,-0.131261228,-0.071734605,-0.120290399,-0.099129441,-0.489945984,-0.053584738,-0.069961709,-0.640070531,-0.360715812,-0.484799261,1.078827191,0.749472554,-0.066958793,-0.408668675,0.171237293,-0.472107224,0.847676081,-0.501257646,-0.418993423,-0.288797197
IT1008,1.686585365,1.665138175,1.289326176,2.330341334,0.508392373,-0.271365772,0.373732717,-0.31975667,-0.218327296,-0.519741032,0.350478315,-0.539160399,-0.810739924,-0.028552595,0.030353057,-0.663255525,0.430065768,0.272231875,1.067616864,-0.227843024,-0.042148823,0.355965472,0.112238443,-0.332983409,-0.108221035,-0.171835536,1.521809971,0.060352361,-0.443449497,-0.411545715,0.112994564,0.305016841,-0.824726478,7.349757188,0.117372283,0.292160658,1.417783433,0.614799151,-0.392992707,0.082181821,0.236665306,-0.03107476,0.164276081,1.04886123,-0.586191587,-0.135144669,-0.169609527,7.952387205,-0.289780555,0.83529112,-0.315774082,-0.414510138,0.130756187,0.299079855,3.23861279,-0.154193333,-0.324764098,0.278072038,0.450252735,0.252273166,0.058189117,-0.084903952,-0.352939383,-0.329228895,0.152267419,3.142401227,0.195636704,1.199471082,-0.128277216,0.525639316,-0.158768222,-0.41996747,0.06503911,0.863135739,-0.539702261,0.244018882,-0.185536366,0.424275473,-0.174138342,0.362858082,0.342587838,-0.214850262,1.775518963,0.258555188,1.104183515,-0.222808096,0.654195264,0.853629115,-0.473578993,1.177341483,1.234192755,1.986027778,0.281971623,-0.646754618,3.135003285,-0.319596138,0.690530806,2.492916582,1.76406031,2.988407592,0.957934959,0.36955088,-0.146056642,-0.38412696,-0.206054867,-0.286688622,0.154162693,0.86135628,-0.550480519,0.68943776,-0.80570636,1.57202427,1.88385949,-0.706821777,1.155473422,0.974999545,-0.245708718,0.4011317,0.221190876,1.673298269,-0.498303648,0.443893122,-0.164035299,-0.642368843,0.817502847,-0.068552438,-0.306470157,-0.683943312,0.372071187,-0.472058405,0.044410746,-0.540329981,1.607286836,0.258984656,0.692167951,-0.462757931,-0.795392931,0.568950041,0.292243286,2.546068355,-0.339599197,0.209338339,0.995172174,-0.802913461,0.725910462,-0.106491639,-0.23088451,-0.070989252,-0.106276903,-0.055186107,-0.13131704,-0.107533958,0.01690211,-0.24526843,-0.315907055,-0.336028291,0.32574655,-0.473493359,0.314966665,-0.317737403,-0.070975151,-0.178145752,-0.246405182,-0.314114445,0.004880575,-0.566047956,3.497492564,0.477974104
IT1009,-0.33528293,-0.342264407,-0.467023028,0.146522007,-0.537324343,0.615048444,1.734088931,0.403984847,0.313865395,-0.412504566,0.333914981,0.183049731,-0.461218141,0.062081658,-0.210307288,0.141146961,-0.551436625,-0.021006272,0.356653739,-0.394717889,0.783599668,0.93331005,-0.437964247,-0.456363891,-0.058178943,0.589749059,-0.015904562,-0.597869692,0.093341477,-0.548173658,-0.572721567,-0.458186997,0.135231368,-0.106796793,-0.227475598,-0.247907095,-0.335183724,-0.635031968,-0.404653301,-0.350305935,-0.136242234,0.798743059,-0.893581423,-0.639350761,-0.265829768,-0.378053102,-0.865284183,-0.629379635,-0.308202252,-0.174118489,-0.269757907,-0.795880918,-0.424964436,-0.647053218,0.284833572,-0.339241418,-0.216398203,-0.285195868,-0.690926827,-0.294990656,-0.781458091,0.096755738,-0.425667142,-0.633754003,0.642713025,0.090895895,-0.311401393,-0.294057296,-0.209382951,0.398927272,-0.091167395,-0.55349003,-0.099172721,0.394326903,-0.100692364,0.628238095,0.016657874,-0.297628608,0.582639836,0.593839441,-0.344398722,-0.382638218,0.089683704,-0.454900048,-0.407919699,-0.72064314,-0.51946792,-0.468421368,-0.420477207,-0.556546792,0.341442717,-0.37846768,-0.260810214,-0.101794774,0.254150304,5.1862502,0.324343533,1.106750816,0.524627014,0.683099268,-0.650318541,1.589329313,-0.451946863,-0.362650568,0.480532735,0.259420729,-0.111032155,-0.12030937,-0.443793126,0.332438383,0.846960161,-0.433331602,-0.159717683,-0.247166686,-0.35765195,-0.71995511,-0.153989261,0.52072106,1.180881309,-0.206030269,-0.504809788,-0.527457852,-0.613134646,-0.253408786,-0.556434711,1.71490389,2.240136177,-0.626775575,-0.287811838,-0.40036598,-0.325596781,-0.649801468,-0.655341624,-0.293604193,-0.141068564,-0.066617953,-0.072975936,-0.19694616,0.16277103,-0.150872514,-0.357611302,-0.781769052,-0.015462371,-0.607124356,-0.40418937,-0.048532915,0.127161639,-0.012763494,-0.096894858,-0.0454452,-0.10209849,-0.064842531,0.091237998,-0.019152705,-0.1359066,0.045016072,-0.139784802,-0.156501362,-0.559106455,-0.242758548,-0.31408704,-0.551875297,-0.541632443,0.262967299,0.337282004,-0.4162829,-0.217390187,-0.288222617
IT1010,0.267349204,0.256056119,0.056469265,0.797424791,-0.225641085,-0.376699066,0.190075688,-0.191276127,0.493784719,-0.021529804,0.150048172,0.26271832,-0.162521832,-0.724593923,-0.376808675,-0.447037263,-0.355934537,-0.213751656,-0.098862636,0.306827273,1.016103189,3.605338357,-0.362437073,-0.129606731,-0.169275241,0.72434153,-0.098797499,-0.009733599,0.08313112,-0.344698503,-0.045446217,3.033817365,0.783738696,-0.036991153,-0.275356866,0.019748277,-0.461506835,-0.220302054,-0.393427949,0.484988925,-0.025892437,1.23753155,-0.461317353,-0.722208724,0.156102306,-0.145030429,-0.564015115,0.805498098,-0.250045093,-0.46060647,-0.36117161,-0.093683008,-0.568708414,-0.769747871,0.677447608,-0.01814011,-0.325028154,-0.375778849,-0.366484043,-0.693612438,-0.789466635,-0.222772589,-0.389949897,-0.197833567,-0.332689333,1.727187165,0.039763998,-0.04890997,0.700676376,0.35365267,-0.109470703,0.145806364,-0.33534952,-0.28835983,-0.127962579,-0.742536091,0.684670591,-0.072065815,-0.879863075,1.581950702,-0.412723102,-0.462999576,-0.061149803,-0.146813302,-0.522197597,-0.274958946,-0.588598521,-0.117592267,-0.353596992,-0.345712154,0.111215055,0.531597909,0.581220134,1.228179871,-0.443041736,0.389144364,-0.158122657,-0.405038589,-0.456527496,-0.278011247,-0.656994446,-0.071489949,-0.334720521,-0.251178279,-0.082139526,0.554203292,-0.629505152,-0.731748531,-0.179823254,-0.564220099,0.616047016,-0.075203542,0.022559159,0.612559982,-0.30148555,-0.514394817,-0.076220066,0.330451911,-0.445014477,-0.201023692,-0.477457851,0.092475627,0.207162565,-0.48325708,-0.488208114,7.490459862,7.960873749,-0.583093376,-0.509385598,-0.491274569,-0.328498331,-0.373628789,-0.757599571,-0.089054803,0.404195796,-0.086546552,-0.340750564,-0.227010245,-0.058218821,-0.568804103,-0.358885404,-0.461744699,-0.390601048,-0.976438896,-0.342129888,-0.084843858,0.216814396,-0.041769378,-0.109414011,-0.075308335,-0.103906124,-0.090054957,-0.019085875,0.146213807,0.285519097,-0.640195512,1.485645919,-0.48758233,1.603647548,1.124691571,0.524706078,0.654132151,0.699508677,-0.379670484,0.279831157,-0.457842805,-0.130503188,-0.287294032
IT1011,1.039387776,1.022571043,0.727120926,1.631303416,0.173659721,-0.335233383,0.032152334,-0.710264876,0.017953397,-0.091397615,0.949638609,0.293690012,-0.61424647,-0.12227896,-0.371318582,0.028283337,-0.551746625,-0.052348996,0.181221788,-0.272243762,-0.155158852,2.267765201,0.26314084,0.583643283,-0.31595343,0.374987621,0.019450576,0.035598888,0.624182402,0.511992677,0.069482665,1.330173976,1.062551383,-0.115974695,-0.172976831,-0.075520279,-0.421920555,0.321322871,-0.392669376,0.072706085,0.313018684,1.466020783,0.172935868,0.334313124,1.003153758,0.305899625,-0.394802504,-0.085388425,0.089927946,0.083739944,-0.18844569,0.506090132,0.418819317,-0.702531933,0.560496116,0.811765073,0.336666926,-0.365116544,-0.430901013,0.230513315,-0.531819158,-0.942043654,-0.362136295,-0.48281135,-0.524474514,0.353277426,-0.089702053,-0.594647304,0.239408846,0.397914447,-0.827485335,-0.009620794,0.432320013,-0.470405565,-0.195820824,-0.775004855,0.037055058,-0.137247347,-0.931591546,-0.247164038,-0.304711895,-0.532202275,-0.221227631,0.475275099,0.530048463,-0.287112357,-0.328039004,-0.0324471,0.048054607,0.32897541,-0.495738276,1.140899775,0.13232038,-0.219881384,-0.638851898,0.697540985,-0.035348636,-0.370969672,-0.210534163,-0.676292879,-0.303388156,-0.452554655,0.498245811,-0.284256705,0.376679028,-0.117905918,0.460825331,-0.427264432,-0.096502505,1.236575628,0.532402454,-0.123919778,0.69458901,2.938950715,-0.325466193,-0.646954338,-0.115346529,-0.68043434,0.72131742,0.169930456,-0.50003475,-0.219189052,-0.329096948,-0.509480069,0.044383404,3.675804462,1.753663944,-0.110207782,-0.2883913,0.069107047,-0.355831958,-0.668976484,-0.059637031,-0.470556908,-0.635296966,0.347370682,-0.740179926,-0.822830391,1.123774859,0.124328931,-0.344391715,0.307104864,-0.447797922,-1.004964481,1.063417792,-0.099775732,0.250406168,0.015112623,-0.061743637,0.053368476,-0.123631083,-0.107844841,-0.035854135,-0.089203706,-0.072005611,-0.640321939,-0.026387086,-0.488187743,-0.354723099,1.050614759,0.13305588,0.243783659,-0.035433294,-0.263886813,0.894441186,-0.338081554,-0.243509899,-0.28560374
IT1012,0.227853635,0.216843126,0.022160397,0.754765639,-0.246068319,0.145338601,0.916821559,-0.152372641,0.473702718,-0.018239424,0.40662659,-0.078727304,-0.39513038,0.223321141,-0.401955174,1.07165536,-0.119586064,0.396695862,0.227527378,-0.599565624,0.538818403,-0.209306899,-0.63830383,-0.570559018,-0.141936033,0.193356212,-0.185668776,-0.590172396,-0.010155173,-0.682891058,-0.478753766,0.051048861,0.268870457,-0.174786507,-0.02190632,-0.395664021,-0.408227423,-0.422228489,-0.399449005,-0.149735576,-0.609736097,-0.174468939,-0.735526506,0.100302266,-0.777828753,-0.406633062,-0.84176599,-0.406905514,-0.496111138,0.006939905,-0.290731917,-0.706109576,-0.436160803,-0.947546721,-0.412204095,-0.723547596,-0.443455115,-0.461822232,-0.618093336,-0.347602946,-0.698405295,-0.061653088,-0.42993585,-0.643896006,0.183046917,-0.510995066,-0.103561466,-0.316812463,-0.608923473,-0.700574517,0.284236558,-0.58267078,-0.032516448,0.009149001,-0.699949818,-0.533878087,-0.359210832,0.210527944,-0.436827372,-0.88698454,-0.445933725,-0.50384807,-0.112271705,-0.430824782,-0.528437376,-0.656890855,-0.676893208,-0.135271876,-0.687380606,-0.208151168,0.704766957,0.622829447,0.063378269,0.092843736,0.118936251,-0.377742686,-0.185015538,-0.051208904,0.220079833,-0.606672179,-0.118369536,-0.390391458,-0.135410346,-0.336569582,-0.09923423,-0.241538012,0.116432065,-0.380222653,-0.328121965,0.796781503,0.593273423,0.128575207,-0.056837259,-0.15953874,-0.308775227,0.230800508,-0.032364721,-0.93645414,-0.499882327,-0.209004097,-0.455379446,0.232807911,0.883115002,0.951324733,-0.246202906,1.207815928,3.483171105,-0.66629326,-0.378257762,-0.487751571,-0.335728288,-0.401140028,-0.492232618,-0.096216064,0.54912881,0.00192415,-0.619063699,0.114834173,0.001239455,0.782600261,0.026502949,-0.320467893,-0.511795234,-0.157475623,0.424810499,-0.091277549,-0.057288843,-0.06187249,-0.023384721,-0.075782049,-0.112229833,-0.094096854,0.507760415,0.190168757,-0.165336283,-0.641261187,-0.102606972,-0.487742466,0.646416097,-0.434170684,-0.115847552,-0.333328116,0.736393573,-0.03874172,0.758096655,-0.354325671,-0.312777052,-0.287985119
IT1013,0.203301571,0.192466723,0.0008326,0.728246962,-0.258766725,-0.213635596,-0.002709798,0.04862603,0.57163293,-0.509856972,-0.58896402,0.122569476,-0.880198862,-0.722026905,-0.143710682,1.056503942,-0.310337748,-0.288137907,-0.039694534,-0.533655602,0.737445941,0.496167988,-0.335549669,-0.246333717,-0.089820321,0.219468009,-0.032444837,-0.060082108,-0.634044055,-0.022272397,1.022275466,1.501517326,-0.189023962,0.273063231,-0.673092101,-0.297140149,0.484466627,-0.321602721,-0.428451228,0.498562616,-0.379917313,0.248538195,-0.242480163,-0.365101267,0.452380533,-0.350156446,0.435477932,-0.079273969,-0.072742612,-0.65080326,-0.406822668,0.305726397,-0.594847283,-0.043898384,1.013959221,0.080563752,-0.147144349,0.658203103,-0.498566411,-0.345293888,-0.252786057,-0.966541579,-0.321192073,0.405214435,-0.742346141,1.700676273,0.415861289,1.402063817,0.671051243,-0.574174983,-0.191974286,-0.403116507,0.076873057,-0.257314205,-0.598437647,0.047293227,0.007064839,-0.163303836,1.303385896,-0.30946255,-0.251683934,-0.559866235,-0.212700566,-0.374341804,-0.090269555,0.092249643,-0.312621737,-0.297847199,-0.524991616,0.826958386,0.673822879,0.315445978,-0.513904849,-0.280814219,-0.633988625,-0.314660338,-0.232389236,-0.611580474,-0.688056748,-0.494458989,-0.07979922,-0.153345421,-0.226590525,-0.245537166,0.979563311,1.078168837,-0.685061863,-0.290777946,-0.452343151,-0.840924156,-0.226091404,0.527083439,0.326830052,-0.171606396,0.172318225,0.154956979,-0.434852901,-0.705362663,0.602410748,0.398432407,-0.483378593,1.016530096,-0.252326279,0.291256127,-0.121992998,1.943004487,-0.308376247,-0.614137411,0.162858713,0.056922645,-0.246902171,-0.564110197,-0.810275668,-0.12316983,1.369885079,-0.49495003,-0.235002376,-0.843123655,-0.381735363,-0.666981874,-0.347831791,-0.699112814,-0.324909047,-0.57975796,-1.243069729,-0.047869949,-0.293024737,-0.066903585,-0.131211755,-0.036689834,-0.12065125,-0.104853622,0.177886688,-0.251469978,-0.403075374,0.047233995,-0.740830148,-0.479526441,-0.918649097,-0.561213764,-0.861369193,0.349662532,-0.652070211,0.338633836,-0.247059696,-0.432902165,2.157489076,0.432284152
IT1014,-0.128467065,-0.136928232,-0.287366974,0.369903759,-0.430358519,0.214595805,0.654748089,0.059479474,0.208177814,-0.299399028,0.22519085,-0.077300717,0.420587512,-0.487989528,-0.113641654,0.029726119,-0.118550755,0.540172165,0.147822263,0.158329684,0.784382682,0.805196866,-0.352114406,-0.408927903,0.131231042,0.273469661,0.827411318,0.973756649,0.157396609,-0.067185551,0.510659589,0.242160187,0.416849209,0.624914628,0.002988207,-0.107283819,-0.16930327,-0.076670532,-0.409447647,0.192479323,0.235887274,0.206250647,-0.507767021,0.560559191,0.427866098,0.267934889,0.248574646,0.206157908,-0.500606697,-0.518970983,-0.298461602,0.237320727,-0.103811531,-0.426146769,1.418480773,0.931307751,0.306163947,0.499013376,-0.26924695,-0.387546964,-0.531281941,0.097262461,-0.425653487,-0.361615569,0.143365445,0.204066408,0.524363189,-0.372141814,-0.153022541,0.752885998,-0.194382253,-0.371945186,0.341837538,-0.685582723,0.183472331,-0.457699763,0.812126642,0.546272289,-0.788573361,-0.84657213,-0.421142265,-0.254450634,0.142897041,0.204261476,-0.05956488,0.06955052,-0.205001603,-0.159744412,0.325081469,-0.314379546,-0.0444327,0.986194943,1.599671342,1.660415545,0.124887164,0.226125648,-0.012397304,-0.000944469,-0.004101817,-0.41458192,-0.233300475,0.399579801,-0.451854054,-0.32335524,0.892605374,0.520746701,1.136683453,0.127678644,0.077889853,0.332981182,-0.033299412,-0.461744924,-0.353620318,1.203340284,-0.320023015,-0.500166035,-0.130465483,-0.199497571,0.264872617,2.113723431,-0.490433212,1.395525581,0.069643608,-0.033824082,0.714742357,1.323825988,1.439619045,-0.608523186,-0.489741583,-0.125847283,-0.325564372,-0.477391106,0.048534647,0.237432571,0.007486154,0.555924728,-0.648809703,-0.666023293,-0.017288467,0.176880919,-0.357597071,0.409953256,-0.324157678,-0.487541937,0.842349865,-0.124684983,0.096023766,-0.089069054,-0.141279816,-0.051369187,0.19331246,0.244883744,-0.432918297,0.400541035,0.161905449,-0.641201862,0.717511231,-0.445372873,0.671379094,1.836385663,0.246566938,-0.140672977,0.110729363,-0.097385548,0.445710156,-0.189484361,-0.037929942,-0.285898133
IT1015,-0.757094171,-0.761057745,-0.833440484,-0.309076185,-0.755486459,-0.638874684,-0.505754998,-0.858726809,0.447888003,0.312002069,-0.858213039,-0.468751813,-0.134133258,-0.890078344,-0.562576507,3.033297455,-0.683947533,-0.943710204,-0.487243926,-0.251991043,-0.320466858,0.425732093,-0.586900132,-0.111836096,-0.270490511,0.448795024,0.307408088,0.425174866,-0.175792759,0.105035298,-0.12660618,-0.245514654,1.743678931,-0.193575417,-0.936272617,-0.930219722,-0.549664365,-0.57723761,-0.219294385,-0.677806414,0.542958626,0.636428664,-0.333693365,-0.565600719,-0.034847052,0.812473472,-0.155102072,-0.574873609,0.155262448,-1.176088765,-0.045230509,-0.243676368,-0.544927062,-0.760869684,-0.521363645,-0.484803204,-0.277570859,-0.360329513,-0.053950143,-0.471724297,-0.684623934,0.252354794,-0.357941264,-0.221265233,-0.831761351,-0.498557831,0.575208752,-0.589217333,0.237492364,-0.034010252,-0.406851394,-0.486475852,-0.433106015,-0.135079926,-0.558298203,-0.94844277,0.084968974,-0.287866593,-0.92688085,0.791684552,-0.695922867,-0.692113493,-0.511928015,0.356825022,-0.237143963,-0.287395495,-0.732213835,-0.627459371,-0.489856509,-0.611033499,0.061309663,0.516780058,-0.040082829,-0.181160953,-0.121076433,1.430499996,-0.016831049,-0.195935654,-0.063983851,-0.4500882,-0.280479856,-0.303025431,-0.171554106,-0.332241835,0.42272952,-0.803228961,0.101156623,-0.451060225,1.076165853,-0.002836558,0.692090666,-0.602009158,-0.375410764,-0.020793992,-0.38243112,-0.634882693,-0.38920108,-0.264746179,-0.474620799,-0.207668918,-0.479314187,-0.122166178,-0.54704722,-0.649555017,-0.250538855,3.010964618,0.893817693,-0.190577728,-0.535505914,-0.218258869,-0.164853717,-0.508012612,-0.197244302,-0.468840868,-0.824588838,1.253172465,-0.38871916,-0.809934816,0.722127289,-0.257581438,-0.342205681,0.354308639,-0.444403744,-0.329903739,0.897600395,-0.086448627,0.000923934,0.023529584,-0.090987547,0.083613565,-0.121561335,-0.09875472,-0.905551523,-0.247231874,-0.371361227,-0.640997275,-0.454675058,-0.48813261,-0.320925604,-0.609876425,-0.821752024,0.111023146,-0.289126736,0.678522592,1.16776856,0.052707474,-0.417685295,-0.284102493
IT1016,0.111410735,0.101233332,-0.078990798,0.628995698,-0.306292958,-0.097338577,-0.503769675,-0.635707182,0.563231222,1.326626958,-0.187253982,-0.019667106,1.144698737,-0.387743346,-0.416948041,-0.222662321,-0.497422575,-1.08322346,-0.349898416,-0.625033503,-0.584214088,0.337530923,-0.709798155,-0.59185691,-0.242672566,-0.024408567,0.027261433,0.7245916,-0.044331201,-0.556116432,-0.635222392,-0.348249792,0.912797455,-0.21241026,-0.965946002,-0.638297947,-0.679229634,-0.659699625,1.157734426,-0.746622272,-0.157489393,0.02345839,-0.88941248,-0.712560843,-0.136017402,-0.055335532,-0.876023944,-0.467005474,1.626135162,-0.45463714,0.483823769,-0.611536096,-0.721760214,-0.936680805,-0.640288787,-0.550936457,-0.240193436,-0.317876104,0.196506484,-1.015453412,-0.750241948,-0.045013693,-0.40659283,0.023511136,-1.013357438,-0.769264351,-0.171957406,-0.568844303,-0.321782106,-0.219489016,-0.357974046,-0.578699574,-0.649937944,-0.847893761,-0.313587368,-0.729536393,1.868907224,-0.493449474,-0.981512814,-0.126559513,-0.975480312,-0.430677031,-0.713287512,-0.587522997,-0.760232573,-0.806051088,-0.859822815,-0.815320918,-0.648182273,-1.100665972,-0.575883699,-0.144138512,0.552586183,-0.101920691,-0.030364606,0.06345985,-0.07999617,-0.513761955,-0.401192594,-0.650031778,-0.546157198,-0.362086333,-0.516815051,-0.323411408,0.289681299,-0.848858681,-0.186959212,-0.933767635,0.488986376,-0.521460272,2.646025468,-0.601883604,-0.376480588,0.68822448,-0.381826876,-0.774882714,-0.44616729,-0.416042619,-0.594900021,-0.209373821,-0.476082334,-0.289885309,-0.271959133,-0.719452449,-0.058114221,-0.19842812,0.204977443,-0.540629367,-0.33843885,-0.488564036,-0.348248804,-0.685705733,-0.598184882,-0.465329041,-0.585672233,-0.338827304,-0.48988864,-0.783544389,-0.7398516,-0.473458965,-0.367558049,2.071406461,-0.514640697,-0.786113794,-0.500119107,-0.153937746,0.437687223,-0.087741074,-0.112609155,-0.058800712,-0.123529471,-0.098706407,-0.842502194,-0.064120249,-0.133758356,-0.640541351,-0.268385235,-0.488772004,-0.712889594,0.050724839,-0.328195484,-0.303328463,-0.541710121,0.552058948,0.275804131,-0.751468283,-0.425169158,-0.288401404
