sample_id,methane emission (g/d)
IT1007,541.4397516
IT1008,712.7192982
IT1009,582.0613333
IT1010,545.326087
IT1011,582.2603175
IT1012,683.2345509
IT1013,658.5350877
IT1014,524.0386128
IT1015,510.0365476
IT1016,541.5595238
IT400,345.287037
IT401,283.6731481
IT402,247.8333333
IT403,277.1361111
IT404,230.4148148
IT405,275.2518519
IT406,357.7479167
IT407,347.9411765
IT408,264.5275
IT409,187.4044444
IT410,264.475
IT411,406.3186275
IT412,252.1842105
IT413,355.0130952
IT414,299
IT415,276.0435185
IT416,290.0731481
IT417,300.6365079
IT418,314.0350877
IT419,287.9212963
IT420,337.2638889
IT421,245.2357143
IT422,269.6333333
IT423,270.9833333
IT424,290.0588235
IT425,318.2258333
IT426,234.6794872
IT427,387.5885417
IT428,261.26875
IT429,301.7372549
IT430,268.7697917
IT431,254.125
IT432,292.9568627
IT433,235.222549
IT434,320.6666667
IT435,217.4780112
IT436,282.0366667
IT437,235.5666667
IT438,182.66875
IT439,299.8777778
IT440,255.778125
IT441,293.3677083
IT442,268.1190476
IT443,246.9357143
IT444,355.5322222
IT445,245.372619
IT446,210.7352679
IT447,285.4823529
IT448,227.5055556
IT449,275.3083333
IT450,258.1166667
IT451,225.0803922
IT452,333.5355556
IT453,275.8333333
IT454,248.5239496
IT455,272.2666667
IT456,313.2222222
IT457,301.2354167
IT458,220.0769231
IT459,224.2960784
IT460,296.4196078
IT461,242.2916667
IT462,204.9055556
IT463,309.7011204
IT464,201.7754902
IT465,247.1522409
IT466,260.8039216
IT467,224.3385417
IT468,207.6843137
IT469,272.7995098
IT470,451.4345238
IT471,256.9285714
IT472,258.9190476
IT473,339.8166667
IT474,392.0347222
IT475,447.7291667
IT476,401.9931373
IT477,401.8722222
IT478,375.7509804
IT479,441.9387566
IT480,543.3443978
IT481,409.2340774
IT482,455.2666667
IT483,420.7583333
IT484,442.3558824
IT485,455.8055556
IT486,375.0848039
IT487,420.4166667
IT488,402.6417989
IT489,427.8064815
IT490,475.8679048
IT491,512.3946886
IT492,563.4791667
IT493,519.2345679
IT494,613.5215909
IT496,420.4404762
IT497,476.4168934
IT498,427.2
IT499,378.9335601
IT500,392.541829
IT501,373.4375
IT502,430.127193
IT503,424.5341667
IT504,349.3916667
IT505,521.3106061
IT506,507.1230159
IT507,422.6060606
IT508,424.4833333
IT509,361.1818182
IT510,372.8416667
IT511,513.8235294
IT512,489.057619
IT513,435.6638889
IT514,382.0689394
IT515,408.8560606
IT516,417.0083333
IT517,355.7674603
IT518,395.8795455
IT519,512.7896825
IT520,543.127193
IT521,398.8269841
IT522,386.4840909
IT523,316.8242424
IT524,480.9277778
IT525,425.966829
IT526,320.2616883
IT527,434.3534014
IT528,305.0455628
IT529,305.0178571
IT530,418.3777778
IT531,315.3833333
IT532,317.9888889
IT533,271.2291667
IT534,261.8111111
IT535,375.2222222
IT536,358.8888889
IT537,431.4166667
IT539,423.90625
IT540,265.2236842
IT541,323.6203704
IT542,388.59375
IT543,385.9895833
IT544,316.5245098
IT545,304.5735294
IT546,258.8854167
IT547,286.9421569
IT548,359.578125
IT549,243.0677778
IT550,273.372549
IT551,343.3656863
IT552,330.7029412
IT553,367.6519608
IT554,312.5529412
IT555,327.9333333
IT556,392.3572917
IT557,305.5708333
IT558,352.4020833
IT559,306.3326331
IT560,269.0546296
IT561,350.627451
IT562,345.328125
IT563,292.3333333
IT564,300.96875
IT565,344.427451
IT566,249.4676471
IT567,231.415625
IT568,297.1532213
IT569,335.6541667
IT570,318.5022222
IT571,256.4980392
IT572,202.0384615
IT573,369.7777778
IT574,402.1428571
IT575,281.65
IT576,308.0833333
IT577,230.82
IT578,436.3809524
IT579,354.4377193
IT580,305.2221905
IT581,298.5513333
IT582,343.3768116
IT583,248.772
IT584,284.2951389
IT585,235.736381
IT586,251.6724638
IT587,278.3472222
IT588,316.7128788
IT589,309.8933333
IT590,272.7881944
IT591,259.2323529
IT592,177.6237143
IT593,271.1969697
IT594,356.4821429
IT595,237.134058
IT596,226.1944444
IT597,449.3563218
IT598,431
IT599,424.3333333
IT600,367.6826087
IT601,361.1547619
IT602,332.8356061
IT603,337.0256944
IT604,371.087963
IT605,352.0333333
IT606,362.1148148
IT607,341.345977
IT608,268.3064103
IT609,397.0571429
IT610,347.9048654
IT611,347.5770408
IT612,362.0437603
IT613,369.1617647
IT614,379.0036232
IT615,367.0144558
IT616,366.302619
IT617,370.4246032
IT618,347.0365079
IT619,354.4833333
IT620,331.0120301
IT621,345.108
IT622,344.679304
IT623,378.404386
IT624,338.1782313
IT625,410.5013333
IT626,361.7852564
IT627,357.0153509
IT628,538
IT629,376.3382353
IT630,422.6923077
IT631,436.42
IT632,375.0060606
IT633,443.0731481
IT634,438.6564327
IT635,427.5572917
IT636,342.0746377
IT637,401.7611111
IT638,373.9583333
IT639,337.0064103
IT640,393.4647465
IT641,396.6818182
IT642,440.5214286
IT643,430.84375
IT644,336.3833333
IT645,402.7314815
IT646,446.3228291
IT647,397.4866667
IT648,453.8482456
IT649,450.2166667
IT650,435.2148148
IT651,352.0842593
IT652,429.3125
IT653,332.7944444
IT654,306.6710526
IT655,336.0631579
IT656,340.5526316
IT657,476.3352201
IT658,409.5352941
IT659,312.5137255
IT660,456.3068627
IT661,482.15
IT662,341.697969
IT663,314.5485348
IT664,391.723346
IT665,463.8607091
IT666,365.722807
IT667,400.4492481
IT668,385.9731859
IT669,325.3833333
IT670,403.5166667
IT671,405.9378571
IT672,365.5936508
IT673,452.7610119
IT674,344.394881
IT675,377.4344444
IT676,415.8756892
IT677,366.5820833
IT678,414.9242424
IT679,317.8736842
IT680,358.3730159
IT681,406.7791667
IT682,371.72
IT683,318.6190476
IT684,318.3729762
IT685,319.6089744
IT686,329.7932073
IT687,355.875
IT688,424.46875
IT689,302.8322917
IT690,401.5625
IT691,457.7631579
IT692,458.2222222
IT693,574.6055556
IT694,476.625
IT695,382.7412281
IT696,466.3340909
IT697,398.775
IT698,484.1
IT699,448.7395833
IT700,622.0766667
IT701,462.5238095
IT702,443.2352381
IT703,482.7
IT704,419.3333333
IT705,487.8571429
IT706,475.1974153
IT707,496.5952381
IT708,470.4051948
IT709,478.9404762
IT710,393.6666667
IT711,469.3333333
IT712,541.1923077
IT713,450.5
IT714,570.2
IT715,456.2142857
IT716,409.2380952
IT717,431.4935185
IT718,336.6977717
IT719,464.2529762
IT720,437.5992857
IT721,403.5952381
IT722,478.7431818
IT723,472.4640542
IT724,465.7373434
IT725,513.1666667
IT726,730.4487179
IT727,620.1675439
IT728,501.7553571
IT729,576.0454545
IT730,603.2993333
IT731,559.0181159
IT732,443.5991429
IT733,380.5761694
IT734,447.6666667
IT735,540.6324762
IT736,463.3396825
IT737,490.8222222
IT738,485.6176471
IT739,383.125
IT740,480.6296296
IT741,485.4090909
IT742,502.6666667
IT743,564.5714286
IT744,531.2380952
IT745,433.351
IT746,469.0436639
IT747,523.8703704
IT748,436.640625
IT749,454.84375
IT750,449.4851732
IT751,454.6829545
IT752,502.7309006
IT753,440.4388133
IT754,405.35625
IT755,456.8676471
IT756,521.646047
IT757,513.7698413
IT758,486.9746377
IT759,563.9349702
IT760,581.4429952
IT761,490.7471429
IT762,468.0376812
IT763,651.7333333
IT764,627.0238095
IT765,465.0069444
IT766,539.738
IT767,467.1611111
IT768,505.55
IT769,524.5833333
IT770,631.5224359
IT771,525.7926065
IT772,463.3205128
IT773,538.9927536
IT774,490.2971014
IT775,721.2619048
IT776,512.7147436
IT777,539.1369048
IT778,471.3522727
IT779,489.3571429
IT780,555.59375
IT781,500
IT782,458.492284
IT783,389.5900206
IT784,480.304386
IT785,515.9722222
IT786,562.162
IT787,427.0666667
IT788,438.7696078
IT789,399.0863636
IT790,408.4335979
IT791,607.8349754
IT792,725.4892157
IT793,600.5897413
IT794,580.2307692
IT795,618.5783333
IT796,574.5831169
IT797,545.7733686
IT798,510.3461698
IT799,630.312724
UK0,403.3756934
UK1,487.7512134
UK10,387.504878
UK100,423.3626606
UK1000,319.0455876
UK1001,333.1078816
UK1002,320.1902584
UK1003,338.7076481
UK1004,328.1346325
UK1005,295.4880413
UK1006,394.4931495
UK101,499.6371709
UK102,574.7882635
UK103,445.0904361
UK104,515.6895595
UK105,521.7980547
UK106,582.9905043
UK107,496.7856479
UK108,485.5322355
UK109,485.4333053
UK11,473.969054
UK110,398.0206477
UK111,529.0337452
UK112,379.1073723
UK113,481.0429482
UK114,439.0392197
UK115,499.9224459
UK116,493.1513613
UK117,408.6164942
UK118,443.4271531
UK119,412.9836907
UK12,409.1894373
UK120,559.3724065
UK121,470.9038452
UK122,434.0128175
UK123,433.5937483
UK124,394.1497484
UK125,444.6519748
UK126,462.0025296
UK127,481.5391855
UK128,491.2757332
UK129,412.3106448
UK13,701.4777486
UK130,523.4180695
UK131,571.8386614
UK132,478.3119863
UK133,455.6195938
UK134,494.0898121
UK135,416.4743477
UK136,454.0262978
UK137,572.0309999
UK138,487.5140963
UK139,531.2842534
UK14,551.8956303
UK140,437.6339258
UK141,400.9427985
UK142,360.5479033
UK143,475.8400521
UK144,358.9540395
UK145,503.2580635
UK146,363.1333975
UK147,372.8547163
UK148,362.8734632
UK149,543.3254289
UK15,575.1988849
UK150,609.2445035
UK151,449.385964
UK152,503.5885241
UK153,426.0703278
UK154,410.5574483
UK155,594.5892974
UK156,417.7615536
UK157,476.6572793
UK158,448.1327845
UK159,407.3460064
UK16,507.1098783
UK160,542.7296851
UK161,384.3318217
UK162,383.5087953
UK163,436.7062286
UK164,380.8995173
UK165,362.163961
UK166,556.144216
UK167,396.9112404
UK168,421.4074771
UK169,573.8451556
UK17,378.2270903
UK170,459.8270238
UK171,437.0850318
UK172,523.9873005
UK173,472.2625164
UK174,391.0531934
UK175,406.8405292
UK176,402.4061051
UK177,478.6882018
UK178,353.6030893
UK179,502.3897137
UK18,446.4676526
UK180,567.0632118
UK181,496.6839746
UK182,564.3890071
UK183,416.9149173
UK184,544.9144507
UK185,553.5489271
UK186,412.9860041
UK187,502.4292854
UK188,473.2837257
UK189,518.7423181
UK19,558.2296726
UK190,431.7062986
UK191,429.3624662
UK192,483.6419791
UK193,428.5323787
UK194,506.7249953
UK195,516.5525236
UK196,518.5746908
UK197,452.351132
UK198,489.8728641
UK199,419.4498558
UK2,432.4349843
UK20,468.7136083
UK200,440.4341411
UK201,414.0577845
UK202,411.1642538
UK203,569.0389494
UK204,355.686427
UK205,615.2579437
UK206,403.2753311
UK207,430.2124747
UK208,319.5982943
UK209,412.1256401
UK21,468.4182876
UK210,410.8721433
UK211,385.7955449
UK213,441.057487
UK214,449.3536354
UK215,455.3202176
UK216,394.8711837
UK217,455.6702909
UK218,464.8528146
UK219,423.9826687
UK22,397.3859339
UK220,398.1044693
UK221,334.0763871
UK222,344.5872708
UK223,386.4011082
UK224,291.6465337
UK225,332.82442
UK226,420.4006985
UK227,323.4049604
UK228,363.1063092
UK229,386.8189935
UK23,535.0754823
UK230,346.8646641
UK231,317.9776662
UK232,376.6835566
UK233,377.1433694
UK234,331.1380939
UK235,320.5058907
UK236,370.9715541
UK237,320.8715866
UK238,374.3560307
UK239,385.9401952
UK24,472.2306488
UK240,347.5603572
UK241,458.1473937
UK242,442.6511493
UK243,389.8637405
UK244,561.6400364
UK245,474.3643118
UK246,418.9739991
UK247,511.6491998
UK248,500.8226675
UK249,456.0644381
UK25,675.2798374
UK250,438.4640345
UK251,452.0323108
UK252,311.0292979
UK253,390.9208326
UK254,337.6714958
UK255,380.2261557
UK256,383.4927086
UK257,385.9905447
UK258,409.6349803
UK259,439.5583337
UK26,474.2818958
UK260,442.0584337
UK261,385.2047595
UK262,647.7220261
UK263,547.555606
UK264,379.5495336
UK265,449.8387652
UK266,518.5161212
UK267,348.2133248
UK268,370.7593764
UK269,391.0128101
UK27,569.3083188
UK270,380.0846834
UK271,496.1887745
UK272,329.0228577
UK273,333.5189271
UK274,430.5140892
UK275,364.8387373
UK276,445.6354626
UK277,333.4372959
UK278,385.6167071
UK279,328.5150429
UK28,492.9223279
UK280,518.4802126
UK281,428.2143462
UK282,348.8800985
UK283,470.0090383
UK284,473.1228505
UK285,511.7158797
UK286,607.0593203
UK287,462.0777172
UK288,481.4324
UK289,434.0836953
UK29,444.9824346
UK290,436.6470798
UK291,365.1997314
UK292,381.7741846
UK293,463.6130178
UK294,525.6133596
UK295,496.7899952
UK296,434.9683978
UK297,337.594812
UK298,471.2454435
UK299,298.9167493
UK3,420.4952287
UK30,408.7459727
UK300,489.09462
UK301,382.430465
UK302,370.2526296
UK303,333.0894096
UK304,418.2975487
UK305,386.8098383
UK306,475.4498129
UK307,453.5543394
UK308,385.0919756
UK309,383.4215845
UK31,410.0312802
UK310,376.3268473
UK311,388.6919406
UK312,324.84851
UK313,584.7173049
UK314,357.1096222
UK315,478.4726509
UK316,445.1432449
UK317,322.0852991
UK318,461.3765176
UK319,392.0868606
UK32,417.7079762
UK320,434.905109
UK321,419.2426492
UK322,357.1497999
UK323,338.2686198
UK324,312.1575339
UK325,321.0647785
UK326,360.448308
UK327,308.3730239
UK328,320.2728241
UK329,323.9701893
UK33,407.4133028
UK330,310.0724111
UK331,392.8492407
UK332,368.5394346
UK333,391.7856538
UK334,381.4230755
UK335,344.442811
UK336,430.7649435
UK337,422.5268516
UK338,394.5575933
UK339,396.616231
UK34,504.296158
UK340,381.0761047
UK341,366.5906464
UK342,418.7348329
UK343,466.2841091
UK344,424.1114705
UK345,523.3298934
UK346,403.4676359
UK347,484.2802772
UK348,418.9039976
UK349,427.9997917
UK35,479.4183633
UK350,476.935575
UK351,392.3150918
UK352,446.2486803
UK353,479.5421952
UK354,377.0604247
UK355,347.702081
UK356,366.036862
UK357,397.3153897
UK358,365.644328
UK359,355.9595079
UK36,283.6706351
UK360,429.9585327
UK361,374.646382
UK362,378.8821663
UK363,405.7936934
UK364,434.9823247
UK365,345.0588625
UK366,403.9815263
UK367,472.5890672
UK368,468.7715669
UK369,423.4983692
UK37,461.9372489
UK370,375.2886391
UK371,540.0907812
UK372,308.9845517
UK373,330.4731244
UK374,321.5269254
UK375,355.0300867
UK376,404.6872949
UK377,423.2883708
UK378,327.0379815
UK379,346.9045203
UK38,515.5220435
UK380,403.3730437
UK381,448.3912789
UK382,373.9754115
UK383,330.1055301
UK384,335.8948268
UK385,297.754718
UK386,315.5951513
UK387,304.4820446
UK388,414.1735164
UK389,341.4379699
UK39,438.681291
UK390,452.7991415
UK391,378.3516115
UK392,393.6097189
UK393,373.4912792
UK394,313.1524475
UK395,326.514315
UK396,475.625166
UK397,336.0841386
UK398,329.3265937
UK399,284.4301562
UK4,675.9427128
UK40,493.4842876
UK41,385.2525639
UK42,425.2485734
UK43,538.5435216
UK44,523.5459911
UK45,567.9747386
UK46,350.3142402
UK47,344.4945482
UK48,373.0534829
UK49,346.0363419
UK5,497.0463193
UK50,344.4480462
UK51,410.5319802
UK52,441.9937367
UK53,340.6361215
UK54,341.9599893
UK55,375.5432261
UK56,365.3367516
UK57,368.7730576
UK58,389.0804373
UK59,363.016217
UK6,466.6499915
UK60,374.2167334
UK61,414.6236231
UK62,458.9761578
UK63,490.2855721
UK64,463.8145157
UK65,454.9896071
UK66,372.1519271
UK67,401.1297902
UK68,447.7817626
UK69,390.4640159
UK7,518.1432185
UK70,431.790592
UK71,418.5807419
UK72,578.7079296
UK73,518.5138317
UK74,461.1511654
UK75,426.6850017
UK76,577.9850123
UK77,472.6964111
UK78,519.7578115
UK79,527.1271244
UK8,553.1858541
UK80,503.5111605
UK81,472.2419429
UK82,443.9868206
UK83,461.0526869
UK84,421.8616558
UK85,485.9617995
UK86,524.1277582
UK87,433.346548
UK88,437.8117121
UK89,348.33996
UK9,462.4669308
UK90,378.8310273
UK91,449.5487719
UK92,525.8974436
UK93,487.2653863
UK94,427.633158
UK95,414.6248037
UK96,481.9401861
UK97,418.2756131
UK98,456.5621554
UK99,389.7129506
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
